bf_cc,bf_bb,bf_qx,bf_zf,cc_bb,cc_qx,cc_zf,bb_qx,bb_zf,qx_zf
-739.0,-53.0,489.67,-186.0,887.0,1429.67,754.0,858.67,183.0,-523.0
-607.0,79.0,464.0,-64.0,887.0,1272.0,744.0,710.0,182.0,-513.11
-561.0,125.0,514.0,232.0,887.0,1276.0,994.0,704.0,422.0,-278.0
-561.0,75.0,510.0,232.0,837.0,1272.0,994.0,385.0,107.0,-277.98
-561.0,70.0,510.0,-33.0,832.0,1272.0,729.0,700.0,157.0,-542.98
-561.0,-240.0,509.97,-33.0,522.0,1271.97,729.0,774.97,232.0,-292.9
-559.0,-238.0,504.95,-31.0,522.0,1264.95,729.0,767.95,232.0,-294.89
-771.0,-238.0,497.93,-31.0,721.0,1456.93,928.0,760.93,232.0,-294.89
-770.0,-375.0,491.91,-30.0,583.0,1449.91,928.0,951.91,430.0,-301.93
-770.0,-385.0,475.94,-35.0,573.0,1433.94,923.0,935.94,425.0,-312.95
-770.0,-390.0,475.94,-35.0,568.0,1433.94,923.0,935.94,425.0,-312.95
-771.0,-376.0,453.88,-36.0,583.0,1412.88,923.0,691.88,202.0,-315.95
-771.0,-197.0,474.84,-36.0,762.0,1433.84,923.0,711.84,201.0,-323.98
-770.0,-236.0,475.84,-35.0,722.0,1433.84,923.0,712.84,202.0,-323.98
-770.0,-196.0,468.92,-35.0,762.0,1426.92,923.0,705.92,202.0,-331.99
-770.0,-196.0,447.9,-35.0,762.0,1405.9,923.0,663.9,181.0,-339.02
-749.0,-266.0,468.89,-14.0,671.0,1405.89,923.0,752.89,270.0,-224.0
-548.0,-220.0,458.82,-19.0,524.0,1202.82,725.0,742.82,265.0,-230.0
-547.0,-214.0,455.85,-18.0,529.0,1198.85,725.0,674.85,201.0,-230.0
-297.0,-16.0,705.85,232.0,477.0,1198.85,725.0,745.85,272.0,-230.0
-385.0,-104.0,588.83,-101.0,477.0,1169.83,480.0,716.83,27.0,-475.0
-473.0,-150.0,493.8,-189.0,519.0,1162.8,480.0,709.8,27.0,-475.0
